count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma,tasks
1,51,0,0,251.200607299805,27.5209999084473,9.3701000213623,12.0796003341675,66.2210006713867,14.1560001373291,8.14400005340576,2.49049997329712,read
2,51,0,0,79.1376037597656,6.37220001220703,1.66970002651215,3.39680004119873,9.51560020446777,0.934599995613098,1.86619997024536,0.316900014877319,read
3,26,0,0,204.153396606445,7.7403998374939,7.24000036716461E-2,1.56019997596741,2.73219990730286,0.956300020217896,0.538399994373322,0.263399988412857,read
4,0,0,0,139.035598754883,37.4592018127441,5.87739992141724,57.3983993530273,8.28680038452148,9.31470012664795,4.60200023651123,0.973399996757507,read
5,0,0,0,86.5438995361328,4.78020000457764,0.890600025653839,3.02800011634827,1.25740003585815,0.527999997138977,0.134800001978874,3.84000018239021E-2,read
6,0,0,0,32.401798248291,3.96440005302429,0.229300007224083,0.931400001049042,0.477999985218048,0.268799990415573,7.68000036478043E-2,3.73999997973442E-2,read
7,0,40,50,171.910507202148,12.4553003311157,8.72609996795654,1.43439996242523,2.74699997901917,1.75680005550385,1.49279999732971,0.406899988651276,read
8,0,63,54,146.670806884766,6.70109987258911,6.23899984359741,9.97259998321533,28.1394004821777,6.31689977645874,3.20479989051819,0.831099987030029,read
9,26,63,54,176.001800537109,5.06850004196167,3.84270000457764,2.11339998245239,1.60699999332428,0.690900027751923,0.383199989795685,0.141699999570847,read
10,0,66,66,61.7458000183105,8.95189952850342,5.47259998321533,4.80019998550415,2.60479998588562,2.08629989624023,1.63339996337891,0.2449000030756,read
11,0,87,63,7.27920007705688,4.1939001083374,0.448900014162064,2.58119988441467,3.52060008049011,1.64279997348785,2.5460000038147,0.133499994874001,read
12,0,78,51,100.600799560547,10.5328998565674,1.70640003681183,3.26460003852844,3.1275999546051,1.0106999874115,0.954200029373169,0.363599985837936,read
13,0,63,63,5.65749979019165,2.62199997901917,3.48379993438721,2.41420006752014,3.23239994049072,1.02489995956421,0.403800010681152,0.101199999451637,read
14,0,75,50,3.84130001068115,6.62690019607544,1.29410004615784,2.40919995307922,4.4028000831604,2.33310008049011,1.16159999370575,0.361200004816055,read
15,0,67,63,62.9850006103516,1.2418999671936,0.355300009250641,4.23400020599365,4.9015998840332,0.722400009632111,0.277200013399124,0.102600000798702,read
16,0,69,57,52.6935997009277,13.8290996551514,0.720899999141693,4.61600017547607,4.2519998550415,1.26639997959137,0.832799971103668,0.335700005292892,read
17,0,75,23,16.8155002593994,7.53599977493286,0.277500003576279,1.1657999753952,2.25239992141724,1.56110000610352,1.02880001068115,0.456699997186661,read
18,0,70,35,2.47580003738403,4.27680015563965,2.85290002822876,1.97979998588562,5.07959985733032,1.58050000667572,1.17239999771118,0.259400010108948,read
19,0,57,27,18.7369995117188,5.32390022277832,2.2146999835968,0.941600024700165,2.18639993667603,0.727699995040894,1.00919997692108,0.160099998116493,read
20,0,44,26,108.063598632812,11.4167003631592,1.06749999523163,1.72099995613098,0.798200011253357,0.306199997663498,0.200800001621246,7.44000002741814E-2,read
21,0,34,24,131.850692749023,7.90189981460571,0.643499970436096,0.555599987506866,4.48979997634888,0.636799991130829,0.350600004196167,6.08999989926815E-2,read
22,0,17,41,112.445503234863,0.899900019168854,0.698300004005432,1.76999998092651,0.466600000858307,0.171399995684624,0.14920000731945,6.08000010251999E-2,read
23,0,21,30,49.4604988098145,13.1753997802734,1.1923999786377,3.76460003852844,3.14219999313354,1.2561000585556,1.46940004825592,1.42809998989105,read
24,0,50,66,9.01360034942627,1.57420003414154,0.671700000762939,0.832799971103668,0.609000027179718,0.377600014209747,0.432200014591217,0.33899998664856,read
25,0,67,51,16.0928001403809,6.68249988555908,6.73360013961792,2.66580009460449,10.1017999649048,3.92510008811951,1.81040000915527,0.881600022315979,read
26,0,64,70,93.1264038085938,0.575699985027313,0.27590000629425,0.866199970245361,0.36939999461174,8.12999978661537E-2,4.30000014603138E-2,1.40000004321337E-2,read
27,0,64,81,72.5183029174805,10.4653997421265,4.70949983596802,4.32119989395142,2.29360008239746,1.36010003089905,0.39520001411438,0.111800000071526,read
28,0,56,81,11.4661998748779,8.15680027008057,4.47049999237061,2.17020010948181,4.14739990234375,1.19959998130798,1.10099995136261,0.507700026035309,read
29,0,29,74,74.436897277832,1.1139999628067,0.147699996829033,0.380400002002716,0.178200006484985,5.82000017166138E-2,0.140400007367134,8.99999961256981E-3,read
30,0,14,56,87.7705001831055,13.4146003723145,2.28949999809265,2.03399991989136,1.74639999866486,0.305400013923645,0.710399985313416,0.123599998652935,read
31,0,11,56,10.8779001235962,2.18600010871887,0.671500027179718,1.55820000171661,0.933600008487701,0.20550000667572,0.46900001168251,0.373499989509583,read
