count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma,tasks
2,0,71,95,1.4028063560545E-5,5.072753992863E-5,5.42447537554835E-7,6.74344701110385E-5,1.06051329566981E-5,1.26706276205368E-4,1.85409062396502E-5,1.68478970863362E-6,read
3,0,85,85,3.78805416403338E-5,1.75353212398477E-4,1.05585140772746E-5,3.25287464875146E-6,1.00867328001186E-6,7.58773808229307E-7,2.1173944696784E-4,2.00701004359871E-4,read
4,0,99,56,2.58861291513313E-7,1.13200567284366E-5,3.51695302924782E-6,1.44836958497763E-5,5.09145087562501E-4,2.14735828194534E-5,1.34851055918261E-4,2.14644114748808E-5,read
5,0,98,39,3.34503596377544E-7,2.00615293579176E-4,1.75533159563201E-6,4.00870840167045E-6,2.54758856499393E-6,4.40829069248139E-7,1.79079245299363E-6,1.82048461283557E-5,read
6,0,92,24,3.33618595504959E-6,7.81476103384193E-7,1.95387401618063E-5,8.13295628177002E-5,1.32181394292274E-5,3.82366664553047E-7,8.53780602483312E-6,6.92946850904264E-5,read
7,0,81,11,5.07492186443415E-5,9.58542955231678E-7,1.8117168565368E-6,1.63522436196217E-5,3.02252650726587E-4,4.01674697059207E-6,1.6286006939481E-5,8.37696934468113E-5,read
8,0,67,3,2.07546618185006E-4,1.05031722341664E-6,2.00229958863929E-4,5.18519300385378E-5,3.36612574756145E-4,2.5340055799461E-5,3.17257877213706E-6,4.55631425211322E-6,read
9,0,51,0,2.96634971164167E-6,6.82865811540978E-6,1.07980304164812E-5,2.94753881462384E-5,6.65471889078617E-5,9.08886647721374E-7,4.53187123639509E-4,5.90965214541939E-7,read
10,0,34,2,3.12107067657053E-6,5.29125054526958E-6,2.84130834415919E-7,6.94343384566309E-7,2.08391757041682E-5,7.98179655703279E-7,8.50758624437731E-7,8.43227098812349E-7,read
11,0,20,9,8.72025630087592E-5,2.59803073276998E-7,9.22580341011781E-7,4.49311937700259E-6,2.23680035560392E-6,1.90662092336424E-6,6.30109252597322E-6,9.5123948995024E-5,read
12,0,8,21,2.80643907899503E-5,5.28153805134934E-7,1.17276882519946E-4,7.73969513829798E-5,1.24118946587259E-6,3.58675833922462E-6,1.81785057066008E-4,3.12373890665185E-6,read
13,0,1,37,3.05210136275491E-7,3.53457863866424E-7,6.42612430965528E-5,1.45737049024319E-5,1.38879875066777E-6,2.67164956312627E-4,4.27951499659684E-6,5.81572066948866E-7,read
14,0,0,53,4.85166083308286E-6,1.98670513782417E-5,1.28121682791971E-4,7.40711038815789E-6,1.49668398080394E-4,1.66127254487947E-4,1.41412647280958E-5,3.24688926411909E-6,read
15,0,4,69,1.80553490736202E-6,5.73062266084889E-7,1.65468445629813E-5,1.72309064510046E-5,4.06910567107843E-6,1.02351555142377E-6,5.39652755833231E-5,8.74226998348604E-7,read
16,0,12,83,1.88660542335128E-5,4.03532358177472E-5,3.79599327970936E-7,2.71400058409199E-4,2.8403484611772E-4,2.7069238058175E-5,1.15932325570611E-5,7.07879451056215E-7,read
17,0,25,93,7.25113613952999E-6,3.15526085614692E-6,1.5580776562274E-6,3.37073252012488E-5,4.48372127721086E-4,2.94966703222599E-5,3.92783622373827E-5,7.57251382310642E-6,read
18,0,41,99,8.34125603432767E-5,1.87455261766445E-5,7.36510401111445E-6,4.38595361629268E-6,8.22380752651952E-5,4.33470122516155E-5,2.12346476473613E-5,2.60837418863957E-6,read
19,0,58,99,4.26434553446597E-6,8.81013620528392E-5,1.44434598041698E-4,4.88892837893218E-4,2.34644153351837E-6,2.35697989410255E-5,2.00213748030365E-4,9.41414873523172E-6,read
20,0,73,93,2.05534634005744E-5,3.68021005670016E-7,2.50312266871333E-4,5.38087260792963E-6,6.00717896759306E-7,2.76773862424307E-5,4.00870840167045E-6,8.96544634088059E-7,read
21,1,86,83,3.91709249925043E-7,1.30748419906013E-4,1.06005500128958E-4,8.01019098162215E-7,1.30900025396841E-6,2.54888254858088E-6,7.01979224686511E-5,3.27167617797386E-5,read
22,2,95,69,1.09009420157236E-6,9.14573611225933E-5,9.9051749202772E-6,2.28490389417857E-5,5.84464169151033E-6,2.0106153897359E-5,6.00153452978702E-6,5.81447807235236E-7,read
