count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma
1,26,0,0,167.920196533203,14.8084001541138,9.24170017242432,41.0586013793945,3.19490003585815,11.1513004302979,8.04899978637695,54.5419998168945
2,26,0,0,13.4786996841431,8.61450004577637,4.41249990463257,6.89400005340576,3.18409991264343,2.41310000419617,5.04839992523193,8.80300045013428
3,26,0,0,146.445297241211,24.0765991210938,20.7833995819092,18.9888000488281,10.4506998062134,13.6434001922607,11.3576002120972,27.7133007049561
4,26,0,0,59.5023994445801,52.0089988708496,17.8476009368896,20.5863990783691,6.26900005340576,9.68220043182373,23.2572994232178,24.5923004150391
5,26,0,0,35.9575996398926,159.350601196289,38.8003997802734,134.043304443359,27.3754005432129,76.4392013549805,101.238098144531,103.854301452637
6,26,0,0,86.0374984741211,13.1331996917725,15.4680995941162,21.1336994171143,10.6468000411987,12.4624996185303,9.89890003204346,14.7323999404907
7,26,0,0,82.8899002075195,47.8880996704102,6.25470018386841,11.9664001464844,12.7433004379272,7.69689989089966,8.80869960784912,25.3055000305176
8,26,0,0,21.8547992706299,10.2550001144409,4.4963002204895,2.76769995689392,2.05150008201599,4.93209981918335,1.26639997959137,10.1381998062134
9,26,0,0,238.134994506836,68.0839004516602,14.7966003417969,25.5743999481201,53.576000213623,59.9766998291016,53.4634017944336,58.3130989074707
10,51,0,0,230.383407592773,5.33729982376099,6.73850011825562,13.4357004165649,13.4670000076294,11.3214998245239,4.2564001083374,3.13019990921021
11,51,0,0,93.9191970825195,80.617301940918,1.76489996910095,20.7614994049072,15.1166000366211,3.45469999313354,5.79500007629395,26.778299331665
12,26,0,0,185.89469909668,71.7770004272461,4.60599994659424,16.9200000762939,11.5492000579834,14.0830001831055,25.1872997283936,46.9754981994629
13,26,0,0,50.2722015380859,6.39809989929199,4.17889976501465,8.87800025939941,1.56270003318787,2.28090000152588,3.93729996681213,11.2468004226685
14,51,0,0,109.372802734375,33.1866989135742,8.66549968719482,5.48470020294189,2.06060004234314,4.63240003585815,2.28929996490479,19.0060005187988
15,26,0,0,208.719497680664,21.9113998413086,75.6421966552734,104.800598144531,26.8516998291016,50.3596992492676,77.5373992919922,89.6140975952148
16,51,0,0,78.72509765625,10.604100227356,43.8018989562988,15.0881996154785,7.24910020828247,6.29689979553223,13.779899597168,13.4854001998901
17,26,0,0,70.4419021606445,2.4546000957489,3.24780011177063,3.24040007591248,1.76719999313354,4.28490018844604,5.02559995651245,6.57929992675781
18,51,0,0,121.833000183105,23.949800491333,16.8384990692139,12.2924995422363,7.03809976577759,13.6940002441406,8.08899974822998,26.0238990783691
19,51,0,0,118.643501281738,83.4124984741211,18.4738006591797,21.6124000549316,11.3199996948242,12.2576999664307,17.9997997283936,14.3604001998901
20,51,0,0,70.2606964111328,17.3617992401123,2.40129995346069,8.90680027008057,7.35640001296997,6.93130016326904,1.05529999732971,16.6387996673584
21,51,0,0,89.5418014526367,6.52750015258789,3.18829989433289,1.24839997291565,2.05229997634888,0.922299981117249,0.272599995136261,6.65980005264282
22,26,0,0,314.231201171875,39.5181999206543,19.2145004272461,6.1641001701355,6.46770000457764,15.184100151062,0.877099990844727,57.7706985473633
23,26,0,0,12.3290004730225,19.6875,1.30420005321503,4.78520011901855,1.83060002326965,2.79590010643005,0.316300004720688,21.4083995819092
24,51,0,0,33.9632987976074,2.04590010643005,0.234400004148483,0.2567999958992,0.720499992370605,0.286300003528595,0.3091000020504,1.53069996833801
25,51,0,0,57.8597984313965,39.9729995727539,3.93569993972778,4.9798002243042,5.85139989852905,11.6254997253418,0.272000014781952,9.0403995513916
26,51,0,0,75.4253997802734,28.9435005187988,5.18599987030029,7.73960018157959,6.61289978027344,4.6641001701355,5.26989984512329,4.46299982070923
27,51,0,0,60.1525993347168,10.5269002914429,2.91589999198914,1.12660002708435,2.69709992408752,0.376300007104874,0.577899992465973,4.31699991226196
28,51,0,0,74.3656997680664,2.75880002975464,2.83430004119873,1.99489998817444,0.700399994850159,1.05069994926453,0.370900005102158,5.88990020751953
29,26,0,0,82.8616027832031,78.3714981079102,3.24279999732971,62.2779006958008,3.48320007324219,19.1737003326416,1.09080004692078,144.908996582031
30,26,0,0,115.392402648926,104.909202575684,1.82500004768372,53.7596015930176,2.81060004234314,23.0294990539551,3.1003999710083,129.155899047852
31,26,0,0,192.089202880859,47.3235015869141,14.5787000656128,8.48460006713867,1.28810000419617,30.9745006561279,1.23099994659424,135.292892456055
32,0,0,0,68.3282012939453,76.8130035400391,6.40390014648438,10.9728002548218,0.805199980735779,29.7222995758057,0.598999977111816,125.335899353027
33,0,0,0,86.1167984008789,51.9468994140625,5.58129978179932,32.9854011535645,0.7810999751091,20.5820007324219,0.990800023078918,124.455703735352
34,26,0,0,97.9942016601562,47.4944000244141,6.80219984054565,81.1070022583008,0.726000010967255,18.5629005432129,0.630699992179871,127.971603393555
35,26,0,0,18.8768005371094,16.3080997467041,3.90000008046627E-2,4.60830020904541,0.150600001215935,7.1003999710083,0.190500006079674,27.2355003356934
36,26,0,0,7.23999977111816,29.1643009185791,1.04900002479553,11.1421003341675,0.233199998736382,4.59609985351562,0.146899998188019,27.3022003173828
37,0,0,0,34.2751998901367,51.720100402832,3.64439988136292,23.5098991394043,0.695200026035309,22.724100112915,0.283300012350082,98.9756011962891
