count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma
1503,0,43,77,11.6518001556396,7.45559978485107,2.91389989852905,0.776099979877472,1.72379994392395,0.652599990367889,0.300500005483627,4.87190008163452
1504,0,56,64,64.0416030883789,2.51609992980957,0.961899995803833,0.346399992704391,0.35809999704361,1.28509998321533,0.120700001716614,7.09299993515015
1505,0,61,57,10.3210000991821,4.14919996261597,2.47490000724792,1.15299999713898,1.16949999332428,0.770600020885468,0.314399987459183,5.62039995193481
1506,0,63,50,11.976900100708,6.1181001663208,1.29960000514984,0.966600000858307,0.434399992227554,2.30640006065369,0.412600010633469,4.96190023422241
1507,0,61,53,15.6906995773315,17.3192005157471,4.77950000762939,3.5618999004364,0.975199997425079,1.29240000247955,0.402799993753433,5.57170009613037
1508,0,43,48,76.7817993164062,44.7379989624023,7.37569999694824,2.64689993858337,4.39010000228882,2.7221999168396,0.680199980735779,1.40760004520416
1509,0,27,40,50.0148010253906,3.04559993743896,0.505699992179871,0.450399994850159,9.2399999499321E-2,0.100599996745586,3.0799999833107E-2,0.2533999979496
979,0,63,57,0.688399970531464,4.32709980010986,1.06550002098083,0.877900004386902,1.27419996261597,0.556100010871887,0.327300012111664,16.9216995239258
980,0,67,56,41.1645011901855,4.31300020217896,0.610700011253357,1.28869998455048,1.5061000585556,0.893299996852875,0.339700013399124,18.4671993255615
981,0,87,47,40.9127006530762,1.63730001449585,0.442099988460541,0.384900003671646,0.833299994468689,1.91019999980927,0.552900016307831,17.7376003265381
982,0,78,54,3.41840004920959,1.5819000005722,1.74319994449615,3.27250003814697,3.57559990882874,0.839299976825714,0.202800005674362,18.1214008331299
983,0,84,50,61.2943000793457,4.80009984970093,0.670300006866455,0.531700015068054,0.290899991989136,0.97869998216629,0.30019998550415,17.8554000854492
984,0,87,53,57.7355003356934,0.560100018978119,0.180500000715256,0.259299993515015,0.553300023078918,0.179100006818771,7.10000023245811E-2,3.58270001411438
1178,0,61,60,3.92400002479553,5.11429977416992,1.00329995155334,1.55040001869202,0.732200026512146,0.827400028705597,0.206000000238419,11.0805997848511
1179,0,81,56,2.60859990119934,3.72830009460449,0.64300000667572,0.661800026893616,0.735300004482269,1.4404000043869,0.393999993801117,8.91110038757324
1269,0,88,57,5.29390001296997,6.34600019454956,0.332399994134903,0.91100001335144,1.06560003757477,2.05489993095398,0.227799996733665,8.09630012512207
1270,0,81,57,4.77720022201538,3.59240007400513,0.691200017929077,1.58480000495911,0.643700003623962,1.07539999485016,0.257099986076355,7.4471001625061
1271,0,77,54,33.1355018615723,1.50360000133514,2.82019996643066,0.192499995231628,1.52190005779266,0.746399998664856,0.107799999415874,6.79979991912842
1272,0,70,50,68.7229995727539,2.22740006446838,0.555499970912933,0.266000002622604,0.552299976348877,0.356099992990494,7.45000019669533E-2,2.06480002403259
